scraped_at,category,name,slug,detail_url,version,revision,latest,file_type,url,local_file,size,hash,last_modified
2026-03-21T00:18:55.849702,anexo-20,Formato de factura (Anexo 20),formato-de-factura,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/anexo_20.htm,3.3,,false,catalogo.xls,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/catCFDI_V_33_31032023.xls,hf/xls/anexo20/factura/3-3/catCFDI.xls,33281024,ef6cf4fbedcbc5a3db993b9495186762327a75cd4c826f39d7055ccf28f7a46b,2023-03-31
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,2.0,,true,xsd,http://www.sat.gob.mx/esquemas/retencionpago/2/retencionpagov2.xsd,,,,2021-12-28
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,2.0,,true,estandar,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/Anexo20_2022.pdf,,,,2022-01-18
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,2.0,,true,xslt,http://www.sat.gob.mx/esquemas/retencionpago/2/retenciones.xslt,,,,2021-12-23
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,2.0,,true,matriz,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/MatrizDeErrores_CFDI_Retenciones_v20.xls,,,,2025-04-09
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,2.0,,true,catalogo.xsd,http://www.sat.gob.mx/esquemas/retencionpago/1/catalogos/catRetenciones.xsd,,,,2024-06-04
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,2.0,,true,catalogo.xls,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/catCFDI_Retenciones_1.xls,,,,2022-01-01
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,1.0,,false,xsd,http://www.sat.gob.mx/esquemas/retencionpago/1/retencionpagov1.xsd,,,,2019-04-30
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,1.0,,false,estandar,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/cfdv33.pdf,,,,2017-07-28
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,1.0,,false,xslt,http://www.sat.gob.mx/esquemas/retencionpago/1/retenciones.xslt,,,,2019-04-30
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,1.0,,false,catalogo.xsd,http://www.sat.gob.mx/esquemas/retencionpago/1/catalogos/catRetenciones.xsd,,,,2019-04-30
2026-03-21T22:29:48.025670,anexo-20,Factura de retenciones e información de pagos (Anexo 20),factura-de-retenciones-e-informacion-de-pagos,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/CFDI_retenciones.htm,1.0,,false,catalogo.xls,http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/catCFDI_Retenciones.xls,,,,2020-05-01
