tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,codigo_clase,nombre_clase,row_hash
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503472,Aceitunas congeladas,125d825f134e52844b9f535e2368e4c7dd43abdbe2429ce0391392722c7f089d
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503422,Agrás congeladas,2ee6562bc8a65d501cff67523847f3ba3c04edc4fc9a81675d20b22b5f8d63ba
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503416,Albaricoques congelados,7d715408c8d0410c43a335ff9e7ad37a0c8a8f6037f20158b5cbddf38249a17f
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503427,Arándanos congelados,9d7a6a13cf0dd7ad66c023416d86357d9d02eda23413714e44896c5b0c5644e6
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503421,Arándanos de mirto congelados,63d72945a0db6fac20fe1e185e7d07b6f83af2843dfa99d47af037dec2894676
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503438,Arándanos Huckleberry congelados,2b95e7fe65268c5cfe518e5e4c27546e8ec1a14ec76e81c733a76987244f0602
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503471,Aronias congeladas,0da3498b4bc863e166e12763761dd0275ba6b27ba83926fc31e9f9a2a6220964
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503417,Bananos congelados,ce2bae62dec3d922a83c547faab7d8257d2f506a81fd40e3416d79b033ea7f89
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503418,Barberries congelados,f8ab8c3c173ff71367c7c44071b527e6fb536913132e19b2c7c7923da375abd8
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503466,Bayas saskatoon congeladas,bd8689799aed461d9149b03836edf2418f723c9808478ab9b0565513df981ee7
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503431,Brevas congeladas,50e04b88ec5237db06d2eee563ace39e0fb5fa372e3b337550b0b7acea0acc19
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503455,Caquis congelados,c26c359188a919025e4bb7dd5f78d5c910c4e113f73d694ef63c8e59890ec60a
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503425,Cerezas congeladas,e388d2bcdbe7e90bb2d53865dd32716c3e5ebac385c2a2f0952f5fc8b804cef4
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503424,Chirimoyas congeladas,4e5854d377e709346c710f621c13b03d5d152f77d10d55b75b55e7c303a524c8
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503458,Ciruelas congeladas,8644d8fc7d88239035e666a82b4a76362360bdc86539385cae3b50085fe6aace
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503457,Ciruelos Damascos congelados,9515f583cee6e8629255049d72486d250ac7a1a037b671500e7455ddf2c2def2
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503426,Citrones congelados,8f09604f7d02acb26cda1c8e1370ec550b176e9d67e3aab7d5069dcb850353bd
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503429,Dátiles congelados,ff3bdb01ff9d529627df1ba1dd9f52e9d2eca579718172ac112dd35d7b0e002f
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503453,Duraznos congelados,59fa97aa0164ee6ced9637b2359c3c67219acf8e0a099c842d1fe79e1e990ba2
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503464,Escaramujos congelados,25787ce8d34d6fc1b11b443aedf94fa7dbda5baf7246cae3a86e2fecc291de51
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503462,Frambuesas congeladas,d0bafbf8fa178287cbfd119239304b4adc593db6ddb25009c05963ad92d54527
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503467,Fresas congeladas,d18842ef12a43c48d48113245101ac6842fa5d4dd793497e214480353a8f3420
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503423,Frutas del pan congeladas,da4a24a615f19fd3caccca0cf4b01030d109e6e0cefe7a5017f2e493b4992e39
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503470,Frutas Nominant congeladas,7ad3d574e5c98a0ad747462be0ad928579e63038446bde644b3075c0901ac9d2
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503419,Gayubas congeladas,715e13eb48350a74bcbf4c18a4ff28208d9cd1b403dd56dd2d300b99df120a7b
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503459,Granadas congeladas,ad3332c1dd3dbaa9351701fde3be86f6319ebf3c9ba9e2549c974ce5d502c1ba
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503432,Grosellas congeladas,8bad89ea3a85a387722a7e22794b5d954458bfd5874bde86037ce45896bce4f7
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503437,Guayabas congeladas,517b8111f230fa47df6112fe520188cf0de9f76584331726b91d964571049ff1
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503439,Kiwis congelados,87fdda2cd50aacf4405e35992576a3a0969549321404dddb302fe75bd29c1ceb
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503442,Limas congeladas,8ca0b5958c6cd1f1de20fee0c5287a7ce22c594121e9578343f240888f205d25
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503441,Limones congelados,1914f57e5815aaf899bd60beeab96a8aa6715328b42df380a961e787cb97c3e0
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503444,Mandarinas congeladas,a71e46061a4c91ca81f48889910c80f65cd0db4864d806bae4f80c98a31cbdf4
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503445,Mangos congelados,3727d03454bf56096dfcee2efc1b38d8bb72af37445874778f2ad5938d3ef388
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503415,Manzanas congeladas,f098942f23f0a58c4db59d3093d1e0f7570568b1055e5cd783ce76cf4d2ca294
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503468,Manzanas dulces congeladas,59e33a8e2db63b87bf9aeb780fef15a2e52f1ba6d967a1867924c5cef8328385
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503452,Maracuyás congeladas,2ed525d4b5640d65898ff5cd4288304fb8b80a8bd3f4cc48b7f9de346a942edb
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503446,Melones congelados,c3f87673633bd2e1b5ba21886ed5f09b69eb3a0adcfd8201ed4ad40115b96504
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503461,Membrillos congelados,9c037270856e0b8809cbebb3314d00574cf5fd48031a5cef23f6b5fd603b703c
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503448,Mirtos congelados,56903cbe89ee7d139c2fe14bbb0474abced10529a452e3de392636e307728ef2
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503420,Moras congeladas,a01fe5467eebfc74e25af90a9e29d982c9ce743eef4166edd40ff4c7573d79cd
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503447,Moras mulberry congeladas,6eb341c83e3e2f7813524370ae627c0b831234710833ad355b4edafabb9b89b4
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503450,Naranjas congeladas,f86193bfde61a7f69711c5c0be1f4d20220e8963be1b0d68e647460d3ff1afd9
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503440,Naranjos Chinos (kumquats) congelados,29f74e3b24a773c4bfedb5d403a3413b65d1daa394391c3d7bd0fa0bb9386f4b
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503449,Nectarinas congelados,acda81639d80174dc3b22d9bb6f0b72c2d5a12d68a3dd8f71f4a17f32badb870
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503443,Nísperos congelados,6a29a06d67c1d229411ee008f05983adbdaafd4396c155a1d3c166a12ad7bb34
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503451,Papayas congeladas,7af3b157f71757c237e16600910a903d20acb36c824acbf1632aacf46b1232a8
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503428,pasas de Corinto congeladas,326867083d6ef94ca57274bda12b98f03beaa8222bc15e50b8b7c4f6848c3fcd
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503454,Peras congeladas,f222241549a17b6bf0404987a30323490feafae34011f65f158c777765d9de44
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503456,Piñas congeladas,f64ca0aa7e034d2c2ceb04cb4e3535f0fb4755218354a54415378b141473fe1d
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503430,Pitahayas congeladas,f73acd001ed29eeb39db0862d4a4360464152b8a0839ff8d7a8000c472db5c71
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503460,Pomelos congelados,2dba81f4ae94e375af82e461a763c37c637ab9e0af3d9ea4fbc2e5a138fe3350
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503463,Ruibarbos congelados,2639585f986e9686ca8846fceee6b215d2a3fe82ed469e084e2376729b315cf0
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503465,Sapotes congelados,39985bf842b9eba95572c1356cc24566dfdb3f25f3fa8007f681f2e01edff94e
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503469,Tamarillos congelados,9bcf64234788bbcd554c0addcca6d71811acbe1b134c29597201e595763f4e7e
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503433,Toronjas congeladas,558e0464d79406c3bab21f6b1234989c88a613697a0a2d45ffd1b99ccdf47abe
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503434,Uvas de mesa congeladas,eaf2f41aad87a837475158b0d552c0a8495687ae6f50b097f661ff959dd06dfd
