tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,row_hash
Producto,40,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento,4010,"Calefacción, ventilación y circulación del aire",061cac7dcdc8852aa4a73f5fa812ef1447c9828ce939e5b81dfffd0a61780e9a
Producto,40,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento,4014,Distribución de fluidos y gas,e41c3228d2468e213de7be72b956eb8271369028db0e0c49b980ef605b582490
Producto,40,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento,4016,Filtrado y purificación industrial,64f889f0e8d8f8a8524854c166f95026e9f826b20f237bc599e93bcc017b8399
Producto,40,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento,4017,Instalaciones de tubos y entubamientos,44ed636c71da0b78dd15466d4fe3ed6b91c52ee926b27fe185589db9953d67f0
Producto,40,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento,4018,Instalaciones de tubos y tuberías,3b02816b9edad391e9b4839c856442ac6debddcfd5a9d17caa9871f25deb4f05
Producto,31,Componentes y Suministros de Manufactura,3120,Adhesivos y selladores,3edaa90cedabe93b1a8b7e8c7d016ec5116062fd1a2529f97fc83034fa7192c4
Producto,31,Componentes y Suministros de Manufactura,3128,Componentes de placa y estampados,106b36113606a5d5bb8aa66f32e6c67e7389c784808395cbcbf04c70ec6859c7
Producto,31,Componentes y Suministros de Manufactura,3126,"Cubiertas, cajas y envolturas",616020e58ac38d6afadf2f44eab1de23e5f0e7905b1b0b9eaa16c2bb70aad47d
Producto,31,Componentes y Suministros de Manufactura,3115,"Cuerda, cadena, cable, alambre y correa",087fcfe614628fe820b6b4fbfdf5631f56265a1c0337d147b2da57c3ee1b9eb2
Producto,31,Componentes y Suministros de Manufactura,3140,Empaques,1e16ade12f3b51e854f8958be9579a7c203d59b7678babbba4143b5fcb00a809
Producto,31,Componentes y Suministros de Manufactura,3118,"Empaques, glándulas, fundas y cubiertas",00f46d81b250bb5a6398ae961ce6156d4105ee183db935b551980e27c0fc545d
Producto,31,Componentes y Suministros de Manufactura,3134,Ensambles de lámina fabricado,8d1b10ade6b503dc1ea99bf69b5d8e0bef6e5c809663c8e9ed8636beddf2a981
Producto,31,Componentes y Suministros de Manufactura,3136,Ensambles de placa fabricados,0be42377fb123cb3f29a371822cdfda2339f2b146693e43028714de7782a3f12
Producto,31,Componentes y Suministros de Manufactura,3135,Ensambles de tubería fabricada,bd8115ace8624836133b8be6fa1d0a8f8329f397152d3775372462de67d373e3
