seccion,descripcion_seccion,capitulo,nombre_capitulo
XI,Materias textiles y sus manufacturas,53,Las demás fibras textiles vegetales; hilados de papel y tejidos de hilados de papel
XI,Materias textiles y sus manufacturas,54,Filamentos sintéticos o artificiales; tiras y formas similares de materia textil sintética o artificial
XI,Materias textiles y sus manufacturas,55,Fibras sintéticas o artificiales discontinuas
XI,Materias textiles y sus manufacturas,56,"Guata, fieltro y tela sin tejer; hilados especiales; cordeles, cuerdas y cordajes; artículos de cordelería"
XI,Materias textiles y sus manufacturas,57,"Alfombras y demás revestimientos para el suelo, de materia textil"
XI,Materias textiles y sus manufacturas,58,Tejidos especiales; superficies textiles con mechón insertado; encajes; tapicería; pasamanería; bordados
XI,Materias textiles y sus manufacturas,59,"Telas impregnadas, recubiertas, revestidas o estratificadas; artículos técnicos de materia textil"
XI,Materias textiles y sus manufacturas,60,Tejidos de punto
XI,Materias textiles y sus manufacturas,61,"Prendas y complementos (accesorios), de vestir, de punto"
XI,Materias textiles y sus manufacturas,62,"Prendas y complementos (accesorios), de vestir, excepto los de punto"
XI,Materias textiles y sus manufacturas,63,Los demás artículos textiles confeccionados; juegos; prendería y trapos
XII,"Calzado, sombreros y demás tocados",64,"Calzado, polainas y artículos análogos; partes de estos artículos"
XII,"Calzado, sombreros y demás tocados",65,"Sombreros, demás tocados, y sus partes"
XII,"Calzado, sombreros y demás tocados",66,"Paraguas, sombrillas, quitasoles, bastones, bastones asiento, látigos, fustas, y sus partes"
XII,"Calzado, sombreros y demás tocados",67,Plumas y plumón preparados y artículos de plumas o plumón; flores artificiales; manufacturas de cabello
XIII,"Manufacturas de piedra, cerámica y vidrio",68,"Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas"
XIII,"Manufacturas de piedra, cerámica y vidrio",69,Productos cerámicos
XIII,"Manufacturas de piedra, cerámica y vidrio",70,Vidrio y sus manufacturas
XIV,Perlas y metales preciosos,71,"Perlas naturales o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas"
XV,Metales comunes y manufacturas de estos metales,72,"Fundición, hierro y acero"
XV,Metales comunes y manufacturas de estos metales,73,"Manufacturas de fundición, hierro o acero"
XV,Metales comunes y manufacturas de estos metales,74,Cobre y sus manufacturas
XV,Metales comunes y manufacturas de estos metales,75,Níquel y sus manufacturas
XV,Metales comunes y manufacturas de estos metales,76,Aluminio y sus manufacturas
XV,Metales comunes y manufacturas de estos metales,77,(Reservado para una futura utilización en el Sistema Armonizado
XV,Metales comunes y manufacturas de estos metales,78,Plomo y sus manufacturas
XV,Metales comunes y manufacturas de estos metales,79,Cinc y sus manufacturas
XV,Metales comunes y manufacturas de estos metales,80,Estaño y sus manufacturas
XV,Metales comunes y manufacturas de estos metales,81,Los demás metales comunes; cermets; manufacturas de estas materias
XV,Metales comunes y manufacturas de estos metales,82,"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común"
XV,Metales comunes y manufacturas de estos metales,83,Manufacturas diversas de metal común
XVI,"Máquinas y aparatos, material eléctrico",84,"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos"
XVI,"Máquinas y aparatos, material eléctrico",85,"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos"
XVII,Material de transporte,86,"Vehículos y material para vías férreas o similares, y sus partes; aparatos mecánicos (incluso electromecánicos) de señalización para vías de comunicación"
XVII,Material de transporte,87,"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios"
XVII,Material de transporte,88,"Aeronaves, vehículos espaciales, y sus partes"
XVII,Material de transporte,89,Barcos y demás artefactos flotantes
XVIII,Instrumentos de precisión y médicos,90,"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos"
XVIII,Instrumentos de precisión y médicos,91,Aparatos de relojería y sus partes
XVIII,Instrumentos de precisión y médicos,92,Instrumentos musicales; sus partes y accesorios
XIX,"Armas, municiones, y sus partes y accesorios",93,"Armas, municiones, y sus partes y accesorios"
XX,Mercancías y productos diversos,94,"Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; aparatos de alumbrado no expresados ni comprendidos en otra parte; anuncios, letreros y placas indicadoras, luminosos y artículos similares; construcciones prefabricadas"
XX,Mercancías y productos diversos,95,"Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios"
XX,Mercancías y productos diversos,96,Manufacturas diversas
XXI,Objetos de arte o colección y antigüedades,97,Objetos de arte o colección y antigüedades
XXII,Operaciones especiales,98,Operaciones especiales
